NAME,CALORIES,FAT,ACIDS,CARBOHYDRATES,SUGAR,PROTEIN,SALT,PRICE,PICTUREID,TYPE,PRICE_FULL
Salami izlase ICA 120g,490.0,40,14,0.5,0.5,33,4,48.25,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_814376_PCE_LV",Gaļas produkti,5.79
Ikru pasta Vodnij Svit ar kūpinātu lasi 160 g,354.9,33.6,4,8.5,4.6,5.7,3,18.69,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_994459_PCE_LV",Gaļas produkti,2.99
Siļku fileju salāti majonēzē ar bietēm un saldinātāju kg,216.5,20,1.4,2.9,1.2,6.9,3.5,6.49,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4000660_KGM_LV",Gaļas produkti,6.49
"Desa Pekpol ar vistas gaļu un cūkgaļu, kūpināta, tvaicēta, žāvēta 105g",414.2,33,14,3,1.2,28,3.3,17.05,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4000461_PCE_LV",Gaļas produkti,1.79
"Vistas gaļas rulete Rimi karsti kūpināta, šķēlēs 200g",119.7,6,2,1.4,0.5,15,1.7,17.45,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_815564_PCE_LV",Gaļas produkti,3.49
Zivju kotletes Delikateses ceptas želejā kg,126.4,5.1,0.9,8.3,1.8,11.7,1,10.99,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4003022_KGM_LV",Gaļas produkti,10.99
Sterilizēti konservi Saules Lolots jēra gaļas 240g,215.8,17.4,8.1,0.4,0.3,14.8,1.3,24.96,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_984762_PCE_LV",Gaļas produkti,5.99
Brieža gaļas servelāde De Lukss ar dzērvenēm 250g,330.5,27.2,11,2.6,0.5,18.9,2,15.96,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4004819_PCE_LV",Gaļas produkti,3.99
Stirnu gaļas desa Rīgas Miesnieks pilndūmu 180g,310.5,25,6.7,1.4,0.3,20.6,2.5,19.94,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_4004841_PCE_LV",Gaļas produkti,3.59
"Zivju bumbiņas no varavīksnes foreles Rimi, atlaidinātas 220g",343.7,27.2,2.9,8.4,1.8,17,1.1,17.68,"https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,q_auto:low,w_auto/d_ecommerce:backend-fallback.png/MAT_815863_PCE_LV",Gaļas produkti,3.89
